วันที่,,สินค้า,รูปถ่าย,SN Production,ราคารับซื้อ,ราคาขาย,กำไร/บาท,ประกันสินค้าเริ่ม,วันหมดประกัน,จำนวนเงินคงเหลือ,รูปสลิปจ่ายเงิน(หลักฐาน),สถานสินค้า,,,,,,,,
11/24/2025,,AOC เกรด B 18.5 vga,,HPYF31A011440,250,,,,,2350,,ยังไม่ออก,,,,,,,,
11/25/2025,,Ddr4 rgb 16gb (8*2) bus2666(รอเครมศูนย์,,6307107869570,600,,,,,1750,,เสีย,,รหัสเครม  ตรวจสอบสถานะเคลมสินค้าเลขที่ CL-20251102512  https://www.jib.co.th/web/index.php/claim/claim_form?cl_code=CL-20251102512&cus_log=1,,,,,,
,,I5 8400+mb,,,800,,,,,,,ยังไม่ออก,,,,,,,,
,,Ram ddr4 bus 2133 4gb ,,231723401107,100,182,82,,,,,ขายแล้ว,,ค่าส่ง 38 (220-38=182),ทุนโอนเข้าSCB กำไรโอนเข้ากรุงไทยแล้ว,,,,,
,,Ram ddr4 bus 2400 4gb,,171923103450,100,250,150,,,,,ขายแล้ว,,กำไรโอนเข้ากรุงไทยแล้ว,,,,,,
,,Ram ddr4 bus 2400 8gb Kingston ,,6201514030,350,550,200,,,,,ขายแล้ว,,โอนกำไรเจ้ากรุงไทยแล้ว,,,,,,
,,Ram ddr4 bus 2133 8gb blackberry,,3700822110,300,,,,,,,เสีย,เนื่องจากทำตกทำให้แรมบิน่และใช้งานไม่ได้จึงทำการโอนเงินคืนเข้า SCB,,,,,,,
,,Ram ddr4 bus 2133 8gb blackberry(no sing),,2600397921,300,450,150,,,,,ขายแล้ว,,ฝากเงินเข้าSCB และแบ่งกำไรเข้ากรุงไทยแล้ว,,,,,,
,,Ram ddr4 bus 3200 16gb(8*2),,6800226735,850,1300,450,,,,,ขายแล้ว,,ทำงานฝากเข้าเงินธนาคารและย้ายเงินเข้ากรุงไทยกำไรที่เป็นที่เรียบร้อย,,,,,,
,,คอมชุด i3 10100f+mb /ram 16bus 3200/psu 650w n/rtx2060 6gb ตำนินพัด,,,6000,,,,,,,ยังไม่ออก,ขาย  มาrtx2060 ยอด 3300,"แรมสีขาว ยังไม่หักค่าขนส่ง (1540-42-9=1,489) ปล.ค่า9บาทคือค่ากล่อง)",, ปล.โอนเงินเข้าSCB เนื่องจากตามทุนอยู่,ssd 500gb 900บาท,,การ์จอ 3300 -ram1489 -ssd 900,(15/12/68)ยอดทั้งหมดที่ขายได้ตอนนี้ ได้ 5689  ณ ตอนนี้ยังเหลือ cpu+mb+case+psu+moniter
,,Ram ddr4 16gb(8*2) rgb สีขาว,,,700,1564,846,,,,,ขายแล้ว,,"ขนส่ง(1640-76=1,564)",,กำลังไรโอนเข้ากรุงไทยแล้ว,b,,,
,,แรม ddr4 16gb rgb bus 3200(8*2) ปล.ซื้อรอนเดียวกับram,,,1000,,,,,,,ยังไม่ออก,ปล.เนื่องจากรีบสแกนให้คนขาย เลยทำการโอนเงินจาก scb(เงินทุน)คืนกสิกรไทยเป็นที่เรียบร้อย หลักฐานอยู่ คอลัมน์T,,,,,,,
,,M.2 500g,,,600,1200,600,,,,,ขายแล้ว,,,,,,,,
,,Psu 750w 80+,,,500,,,,,,,ยังไม่ออก,,,,,,,,
,,Rtx 2060 12gb ,,,2800,4000,1200,,,,,ขายแล้ว,,,,,,,,
,,I3 12100F+mb+m.2 256,,,3000,,,,,,,ยังไม่ออก,,,,,,,,
,,rtx5060 ,,,7500,8500,1000,,,,,ขายแล้ว,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,
